id,label,message
1,spam,Congratulations you have won a free lottery ticket
2,ham,Hey are we meeting for lunch today
3,spam,Claim your free prize now click the link
4,ham,Please review the project document
5,spam,Limited time offer buy now and get discount
6,ham,Can you send me the meeting notes
7,spam,Win cash rewards instantly register now
8,ham,I will call you in the evening
9,spam,Exclusive deal just for you click here
10,ham,Let us schedule the team meeting tomorrow
11,spam,Get cheap medicines without prescription
12,ham,Happy birthday have a wonderful day
13,spam,You have been selected for a free vacation
14,ham,Please find the attached report
15,spam,Earn money quickly from home
16,ham,Did you finish the coding task
17,spam,Urgent respond to claim your reward
18,ham,Let me know when you are available
19,spam,Special promotion get 50 percent off
20,ham,The server deployment is completed
21,spam,Click this link to verify your account
22,ham,Thanks for your help yesterday
23,spam,You are a lucky winner claim now
24,ham,We will discuss this in tomorrow meeting
25,spam,Free entry in contest win big prizes
26,ham,Can you review my code changes
27,spam,Lowest price guaranteed shop today
28,ham,Dinner plans for tonight
29,spam,Act now to secure your bonus
30,ham,Project deadline is next Monday
